,tweet,labels
0, rt mayasolov woman shouldnt complain clean hous amp man alway take trash,Neither hate speech nor offensive language
1, rt boy dat coldtyga dwn bad cuffin dat hoe st place,Offensive language
2, rt urkindofbrand dawg rt life ever fuck bitch start cri confus shit,Offensive language
3, rt cganderson vivabas look like tranni,Offensive language
4, rt shenikarobert shit hear might true might faker bitch told ya ,Offensive language
5,tmadisonx shit blow meclaim faith somebodi still fuck hoe ,Offensive language
6,brighterday sit hate anoth bitch  got much shit go,Offensive language
7,selfiequeenbri caus im tire big bitch come us skinni ,Offensive language
8, amp might get ya bitch back amp that ,Offensive language
9, rhythmixx hobbi includ fight mariambitch,Offensive language
10, keek bitch curv everyon  lol walk convers like smh,Offensive language
11, murda gang bitch gang land ,Offensive language
12, hoe smoke loser   yea  go ig,Offensive language
13, bad bitch thing like ,Offensive language
14, bitch get ,Offensive language
15, bitch nigga miss ,Offensive language
16, bitch plz whatev ,Offensive language
17, bitch love ,Offensive language
18, bitch get cut everyday b ,Offensive language
19, black bottl amp bad bitch ,Offensive language
20, broke bitch cant tell noth ,Offensive language
21, cancel bitch like nino ,Offensive language
22, cant see hoe wont chang ,Offensive language
23, fuck bitch dont even suck dick  kermit video bout fuck ig,Offensive language
24, got ya bitch tip toe hardwood floor  ,Offensive language
25, pussi lip like heaven door  ,Offensive language
26, hoe hit ,Offensive language
27, met pussi ocean dr  gave pussi pill  ,Offensive language
28, need trippi bitch fuck hennessi ,Offensive language
29, spend money want bitch busi ,Offensive language
30, txt old bitch new bitch pussi wetter ,Offensive language
31, id say im back old old bitch would get excit  ,Offensive language
32, aint bout murder game pussi nigga shut ,Offensive language
33, your toe aint done pussi stink ,Offensive language
34, im done bitter bitch wrap  angri bird there app ,Offensive language
35, ya bitch ,Offensive language
36, aint noth cut bitch ,Offensive language
37, jus meet son ya mane ass bitch  shot,Offensive language
38, lame cri hoe that tear clown ,Offensive language
39, like snoop said dont love hoe ,Offensive language
40, momma said pussi cat insid doghous ,Neither hate speech nor offensive language
41, hate hoe favorit  mw sevenon  ,Offensive language
42, nice girl bad make get naughti bad yello hoe real nice bodi south chick like em real thick ,Offensive language
43, pimp pimp hoe  futur voic,Offensive language
44, post pictur pussi get like ,Offensive language
45, pussi power drug  happyhumpday ,Offensive language
46, quick piec pussi call drive ,Offensive language
47, run round like brand new pussi that bout get fuck ,Offensive language
48, bitch even worst theyll send guy ,Offensive language
49, hoe like nigga spend money talk bout ,Offensive language
50, dont trust nigga bitch ,Offensive language
51, yall nigga b cuf hoe caus yall aint never bitch ,Offensive language
52, dodg bullet  darealkha da bitch cut pregnant bound thank god ,Offensive language
53, young pill chamberlain bitch love music ,Offensive language
54,vandalsavag teanna trump probabl cleaner twitter hoe,Offensive language
55,dahomiefuzz gay nigga couldnt wait act like bitch tonight,Offensive language
56,theparadox ima steal cat n replac pitbul rt life theparadox bitch,Offensive language
57,amp hes gone alway hoe,Offensive language
58,son bitch took tic tacsi like movi,Offensive language
59,wanna get money fuck model bitch  russel simmon,Offensive language
60,seniorprob probabl mind school much deal bitch ass teacher retweet,Offensive language
61,xdemeri im fuck fag said,Offensive language
62,arizzleindacut femal think date pussi cute  stuff make pussi,Offensive language
63,guy simplyaddictedtoguy  woof woof hot scalli lad,Neither hate speech nor offensive language
64,adorebellaaa ya ever ask bitch bitch  kany voic yes,Offensive language
65,adorezoey u gone bring ur side bitch game know ya gf friend  swear,Offensive language
66,allaboutmanfeet  woof woof hot sole,Neither hate speech nor offensive language
67,allyhaaaaa lemmi eat oreo amp dish one oreo lol,Neither hate speech nor offensive language
68,almightywayn jetsandaswish gook bitch fuck u  mayb youll get better ,Offensive language
69,almightywayn fuck red malon man bitch ass niggah could pleas use complet sentenc,Offensive language
70,eggplant emoji doey say look like scream lmao,Neither hate speech nor offensive language
71,autoworid hennessey venom gt that one sexi bitch,Offensive language
72,bossbytchh seh pussi wetter shower curtainahmesehwetnessltlmao,Offensive language
73,eaglesn everi eagl need see pic post bitch said racist shit,Offensive language
74,bvsedchink yo fuck skateboard yall wood push faggot man ball life amjemiebenn,Offensive language
75,babyanimalp babi monkey bathtim awwww soooo ador,Neither hate speech nor offensive language
76,baylaagottabodi aint shit  damn skippi lol,Offensive language
77,beeasyjrizzi u ever kill ant sidewalk think damn nigga way get pussyno bs must b chanc,Offensive language
78,beenbasedb kudabrazyy  ring mvps bitch lol,Offensive language
79,beenflynsolo ppl talk bad ghettohood  kid grow nigga funnnnnnn ,Offensive language
80,bestproadvic fact tattoostattoo  hes pussi tattoo nippl,Offensive language
81,rt nelayden bitch want act like nigga bad shit aint cuteeee nigga act like bitch,Offensive language
82,get worship bitch  woof woof,Offensive language
83,blackchiquitita wow rt thatmanpalm im lost buttcheek pierc  yeah shes hoe,Offensive language
84,blacknerdjad ok sis shed rather broke bitch shrug shell tell work,Offensive language
85,tide whalelookyher queer gaywad,Hate speech
86,brokenpiecesmsc itsnotadam faggot read tweet dat k wasnt even funni lol,Offensive language
87,brosconfess bitch ungrat  fr  lulwhor,Offensive language
88,cashandboobi kidnap yo bitch,Offensive language
89,whitethunduh alsarabsss hes beaner smh tell hes mexican,Hate speech
90,ccobey aydanmccoy happi birthday nig thank yo,Offensive language
91,chlldhoodruin ur teacher tell u u homework  bitch need go,Offensive language
92,edham nigga eat hoe lol hell yea lol john paul nigga said john paul ,Offensive language
93,canifuckornah would yall lil ugli bald head bitch stop make makeup amp weav,Offensive language
94,leaf better win damn game go riot shit earlychristma better start loot nig,Offensive language
95,causewereguy go back school suck dick hoe attend,Offensive language
96,causewereguy way fuck yo bitch  year old,Offensive language
97,celeynichol whitethunduh come never bring food dont car retard,Offensive language
98,chadmfverbeck richnow doesnt show hella tinder hoe im friend anymor chill brought like like propl,Offensive language
99,chandlerparson bout cowboy shutup pussi,Offensive language
100,clicquotsuav lmaooooooooooo nigga krillznuhcar  ltbitch want like depress shitfoh,Offensive language
101,coleyce lilaerii girl know spit g shit amp go lbvsbitch plz,Offensive language
102,coleyce let make coupl tweet cuzzo page wont get twitter jaillmao bitch dont trick,Offensive language
103,comedypost harlem shake excus go full retard second,Offensive language
104,comedytruth amen miley dont need act like hoe bc shes emot damag foh,Offensive language
105,corybandz one loyal femal wayyyyy better hoe  idc ,Offensive language
106,crhedri pussi lick pussi meow meow ,Offensive language
107,dbabholloway check th man cowboysn even faggot ny fan stand,Offensive language
108,dgotbrick happen vixen ent bitch got ran threw side like foothil bitch,Offensive language
109,daedavidavi whitethunduh im bitch okay nude pat wow,Offensive language
110,devilgrimz vigxrart your fuck gay blacklist hoe hold tehgodclan anyway ,Hate speech
111,diamondloudkush fuck wrong bitch nobodi know,Offensive language
112,yall shut upp make bitch,Offensive language
113,dionairish hate im pregnant type bitch,Offensive language
114,doyouq got bitch dm dont ever readem top ,Offensive language
115,domworldpeac basebal season win yanke love start,Neither hate speech nor offensive language
116,dommoneek littl stupid bitch dont fuck yoooooouuuu,Offensive language
117,dreadheadari realli ask dead ass serious tho could say bitch wheet lol,Offensive language
118,dunderbail im earli bird im night owl im wise worm,Neither hate speech nor offensive language
119,edgarpixar overdos heavi drug doesnt sound bad tonight pussi shit everi day,Neither hate speech nor offensive language
120,pit bull photograph love fairi tale creatur fairi tale creatur,Neither hate speech nor offensive language
121,ferociousghost stnamebravo aw fag dont tweet aw lol,Offensive language
122,long laker trash could careless that real cc benbal hahaha,Neither hate speech nor offensive language
123,frosstyy rheyd didnt say anyth tho kiss faggot,Offensive language
124,funnypicsdepot play soccer cheat girl wear khaki colour cargo haircut  yup,Neither hate speech nor offensive language
125,status could go fat ass bitch lap,Offensive language
126,gedmell miss call das yo po bitch twitter finna screamn freemoneymell,Offensive language
127,gtmal ya side bitch gotta know rule shitanybodi ask cousin jersey thinkin bout move lmmfao ,Offensive language
128,malefoot amo los pie  fuck yeah,Offensive language
129,girlthatsvont hoe think meat wont slap ass ainna bruh,Offensive language
130,girlthatsvont yall bitch wit edg talk ,Offensive language
131,girlthatsvont yall still go trick treat year nahhel yeah ima da sweet tooth bandit steal bitch bag n shit,Offensive language
132,girllssu wanna sex mom fuck right pussi came damn got hack like fuck,Offensive language
133,kiss u eye open watch bitchlmfao,Offensive language
134,goofstroop woulda coulda shoulda ass hoe ,Offensive language
135,gottiltf happi bday bitch ass nigga jetsandaswisherpreci bitch roll,Offensive language
136,hbmostdop jaye pipinho use send bitch,Offensive language
137,hbmostdop ugli bitch like im wcw duh bitch aint nobodi ,Offensive language
138,halotgmg stnamebravo nigga know hacki sack hoe nah throw look pass lmao,Offensive language
139,heartlessfuck glad im get outta atlanta noth bunch nigga amp outta jail amp dumb bitch mad kid fuckin em,Offensive language
140,hermosaalma isnt ghettoit smart  im idc,Neither hate speech nor offensive language
141,hiimjorib would wife hoe cuz wouldnt care cheat forc relationship first place,Offensive language
142,hornyfact singl isnt excus hoe theonemissluu,Offensive language
143,white boy power bitch black power bitch,Offensive language
144,let get drunk get blow spit shit spark blunt amp fuck hoe bro white dude chill,Offensive language
145,iscoutgirl verballyabrupt bitch u around world back,Offensive language
146,itsyahboiray anelylov dont get dick suck yo parti bad bitch im fr gone set anelylov ,Offensive language
147,itsyesi oomf soooo cute probabl hoe lot,Offensive language
148,everi cartoon alway save hoe lmao  lmao damn captain saveaho,Offensive language
149,jreebo want get nose bad boi scalli chav sockfetish stink  hot sox leg,Neither hate speech nor offensive language
150,jamesynba wish bitch like brother keezi ooooow bet,Offensive language
151,jasminepor dress cat halloween basic pussi,Offensive language
152,jewelxo pornhub get game stream featur dumb bitch gtfo pornhub get ,Offensive language
153,joebudden stop scare choke sex u bitch ass nigga like say guy hit women bed foh,Offensive language
154,perez whitethunduh ha well iguess make hoe loyal bro theyll never loyal hoe nig,Offensive language
155,kazatta takehov oh man molli ho fuck ya seed fix,Offensive language
156,kelsiebelsi your man refer everi girl bitch,Offensive language
157,keyshawnswag lmfao cat start beat shit nigga final got pussi nigga,Offensive language
158,keyshawnswag peel peel bring back rewind back im move shaq line ooooow tf said trash,Neither hate speech nor offensive language
159,kingcuh stanley io io alu record ho vine sai pe hahahaha lol anywaaaaaay haha,Offensive language
160,vondreaam naw old tape new cover  upcom mixtap kingofthehil yeah im wait hoe mayn,Offensive language
161,kingteej ol dirti foot ass bitch funni,Offensive language
162,whitethunduh that get yellow flag amaz hell yeah niggi,Offensive language
163,kissmysmile dont got time bitch actin iffi,Offensive language
164,knightfann ucfpinkparti come stay aliv knight nation still earli bird special comeatmeut,Neither hate speech nor offensive language
165,kyranadiya hoe aint loyal  aint smfh amp wonder nobodi decent want,Offensive language
166,lcistj bruh stud keep think im soft hell ask ya girl mani time scream bitch oh okay stfu bye hoe,Offensive language
167,lodycash dri pussi bitch alway blame ,Offensive language
168,lunarap shut yo bitch ass  ,Offensive language
169,laflaregodjosh gucci mane jail drop mixtap everi month hoe cant even text back,Offensive language
170,latrobemark love hoe money wat wrong nigga,Offensive language
171,lebronvuitton loyal bitch burb without daddi issu like find holograph mewtwo sound like lol,Offensive language
172,lilfridayho easi cum easi hoe that fact ,Offensive language
173,lifeasbro charli sheen real  major fuck respect charli sheen,Offensive language
174,lightskingawdd wish bae got hoe tho,Offensive language
175,fuck twerk bitch cook ,Offensive language
176,linniekravitz wesgodlaflar bitch wtf ,Offensive language
177,lipethegreat rheyd lipethegreat shut zoe fight zoe im good man good maam move along,Offensive language
178,lolaaisdop lmao fuck snake bitch  em,Offensive language
179,loveableaizah big booti hoe everywher sheesh damn ,Offensive language
180,mlbnetwork stay tune mlbnetwork updat report yanke b week bum,Neither hate speech nor offensive language
181,mrad dezdlt play soccer cheat girl wear khaki colour cargo haircut  yes ,Neither hate speech nor offensive language
182,madflyentist oregon choke everi year get field trash ass program rft,Offensive language
183,mannydiesel def cowboy lol rt artoffloyd terrel owen best eagl amp cowboy ever dude cri like bitch tv romo,Offensive language
184,markroundtreejr lmfaoooo hate black peopl  there black peopl nigger,Hate speech
185,tolif gabrielastarr could u bitch potent,Offensive language
186,piss lad past would lick dirti sole slept,Neither hate speech nor offensive language
